title;rating;ratingLevel;ratingDescription;releaseyear;user rating score;user rating size;
13 Reasons Why;TV-MA;For mature audiences.  May not be suitable for children 17 and under.;110;2017;99;80;
Marvel's Iron Fist;TV-MA;;110;2017;98;80;
Ingobernable;TV-MA;;110;2017;96;80;
Girlboss;TV-MA;;110;2017;94;80;
Dave Chappelle;TV-MA;For mature audiences.  May not be suitable for children 17 and under.;110;2017;94;80;
Girlboss;TV-MA;;110;2017;94;80;
Dave Chappelle;TV-MA;For mature audiences.  May not be suitable for children 17 and under.;110;2017;94;80;
Girlboss;TV-MA;;110;2017;94;80;
Dave Chappelle;TV-MA;For mature audiences.  May not be suitable for children 17 and under.;110;2017;94;80;
Chewing Gum;TV-MA;For mature audiences.  May not be suitable for children 17 and under.;110;2017;93;80;
Orange Is the New Black;TV-MA;For mature audiences.  May not be suitable for children 17 and under.;110;2016;98;80;
The Flash;TV-PG;Parental guidance suggested. May not be suitable for all children.;70;2016;98;80;
Finding Dory;PG;mild thematic elements;60;2016;98;80;
Grey's Anatomy;TV-14;Parents strongly cautioned. May be unsuitable for children ages 14 and under.;90;2016;98;80;
Criminal Minds;TV-14;Parents strongly cautioned. May be unsuitable for children ages 14 and under.;90;2016;98;80;
Finding Dory;PG;mild thematic elements;60;2016;98;80;
Criminal Minds;TV-14;Parents strongly cautioned. May be unsuitable for children ages 14 and under.;90;2016;98;80;
Orange Is the New Black;TV-MA;For mature audiences.  May not be suitable for children 17 and under.;110;2016;98;80;
Finding Dory;PG;mild thematic elements;60;2016;98;80;
Grey's Anatomy;TV-14;Parents strongly cautioned. May be unsuitable for children ages 14 and under.;90;2016;98;80;
Family Guy;TV-MA;For mature audiences.  May not be suitable for children 17 and under.;110;2015;98;80;
The Walking Dead;TV-MA;For mature audiences.  May not be suitable for children 17 and under.;110;2015;98;80;
Family Guy;TV-MA;For mature audiences.  May not be suitable for children 17 and under.;110;2015;98;80;
Last Man Standing;TV-PG;Parental guidance suggested. May not be suitable for all children.;70;2015;97;80;
Law & Order: Special Victims Unit;TV-14;Parents strongly cautioned. May be unsuitable for children ages 14 and under.;90;2015;97;80;
Arrow;TV-14;Parents strongly cautioned. May be unsuitable for children ages 14 and under.;90;2015;96;80;
Minions;PG;action and rude humor;60;2015;96;80;
Parks and Recreation;TV-14;Parents strongly cautioned. May be unsuitable for children ages 14 and under.;90;2015;94;80;
Home;PG;mild action and some rude humor;60;2015;94;80;
Parks and Recreation;TV-14;Parents strongly cautioned. May be unsuitable for children ages 14 and under.;90;2015;94;80;
